# 1 x                          2 y                    3 number IS              4 number viruses               5 viral fitness            6 number IS update
         1949.00000        -2007.00000               1151                  0            0.00000                 -1
         2084.00000        -1992.00000              26339                  0            0.00000                -17
         2091.00000        -1978.00000               1459                  0            0.00000                 -1
         1745.00000        -1924.00000                139                  0            0.00000                 -1
         2058.00000        -2000.00000              10721                  0            0.00000                 -4
         1778.00000        -1950.00000               2610                  0            0.00000                 -4
         1980.00000        -2006.00000              16239                  0            0.00000                 -7
         2042.00000        -1994.00000              14537                  0            0.00000                -14
         1948.00000        -1994.00000               7157                  0            0.00000                 -4
         1953.00000        -1992.00000               4116                  0            0.00000                 -4
         1905.00000        -1979.00000               2238                  0            0.00000                 -1
         1691.00000        -1934.00000               3376                  0            0.00000                 -3
         1601.00000        -1911.00000               1763                  0            0.00000                 -1
         2008.00000        -2009.00000               3578                  0            0.00000                 -1
         1935.00000        -1990.00000              12855                  0            0.00000                -10
         1792.00000        -1953.00000               6239                  0            0.00000                 -4
         1918.00000        -1985.00000              13098                  0            0.00000                 -6
         1973.00000        -2010.00000               6141                  0            0.00000                 -3
         2116.00000        -1985.00000              21758                  0            0.00000                -14
         2044.00000        -2008.00000              14577                  0            0.00000                 -8
         2113.00000        -1975.00000              10769                  0            0.00000                 -3
         2043.00000        -2000.00000              20394                  0            0.00000                -10
         2101.00000        -1981.00000              54927                  0            0.00000                -29
         1788.00000        -1955.00000               2707                  0            0.00000                 -1
         1956.00000        -1986.00000               7833                  0            0.00000                 -1
         1898.00000        -1990.00000                759                  0            0.00000                 -1
         1859.00000        -1981.00000                998                  0            0.00000                 -1
         1766.00000        -1948.00000              18018                  0            0.00000                -10
         1853.00000        -1970.00000               1791                  0            0.00000                 -4
         1994.00000        -1999.00000              20371                  0            0.00000                 -5
         1909.00000        -1980.00000               6230                  0            0.00000                 -4
         1886.00000        -1978.00000               8652                  0            0.00000                 -2
         2068.00000        -2008.00000                429                  0            0.00000                 -1
         1900.00000        -1979.00000              13358                  0            0.00000                 -6
         1950.00000        -1987.00000              14495                  0            0.00000                 -7
         1977.00000        -2010.00000               5356                  0            0.00000                 -2
         1823.00000        -1965.00000               1576                  0            0.00000                 -2
         1840.00000        -1966.00000              16336                  0            0.00000                 -8
         2090.00000        -1980.00000              10220                  0            0.00000                 -5
         1909.00000        -1989.00000               4804                  0            0.00000                 -3
         1829.00000        -1971.00000                717                  0            0.00000                 -1
         1635.00000        -1917.00000                562                  0            0.00000                 -1
         1634.00000        -1925.00000                 57                  0            0.00000                 -1
         1609.00000        -1921.00000               1016                  0            0.00000                 -1
         1577.00000        -1909.00000                713                  0            0.00000                 -1
         1822.00000        -1962.00000               1996                  0            0.00000                 -1
         1882.00000        -1973.00000               2327                  0            0.00000                 -1
         1830.00000        -1966.00000                985                  0            0.00000                 -2
         2033.00000        -2000.00000              45265                  0            0.00000                -15
         1676.00000        -1937.00000               1387                  0            0.00000                 -1
         1792.00000        -1956.00000               4244                  0            0.00000                 -2
