# 1 x                          2 y                    3 number IS              4 number viruses               5 viral fitness
         2115.00000        -1971.00000                 64                  5           -0.01812
         2116.00000        -1974.00000               3280                 17           -0.01992
         2126.00000        -1985.00000                 24                  1            0.05406
         2111.00000        -1971.00000                618                  6           -0.05012
         2117.00000        -1976.00000              13898                194           -0.01699
         2122.00000        -1984.00000               1018                 43            0.01814
         2109.00000        -1982.00000              23422                  1           -0.09692
         2112.00000        -1980.00000             161477                 50           -0.06954
         2118.00000        -1973.00000               6281                 96            0.00024
         2124.00000        -1980.00000               8454                444            0.03884
         2119.00000        -1977.00000              18363                346           -0.00158
         2121.00000        -1978.00000               4853                101            0.01452
         2115.00000        -1977.00000              13041                 86           -0.03715
         2120.00000        -1977.00000               7490                256            0.00740
         2113.00000        -1983.00000             102366                133           -0.06364
         2121.00000        -1992.00000                  1                  1            0.01485
         2111.00000        -1984.00000              25727                  2           -0.08075
         2112.00000        -1981.00000             115120                111           -0.07093
         2118.00000        -1986.00000              13495                141           -0.01795
         2124.00000        -1979.00000                171                 17            0.04004
         2116.00000        -1983.00000             121607                514           -0.03691
         2114.00000        -1977.00000              22066                  9           -0.04584
         2116.00000        -1970.00000                 62                  5           -0.00628
         2122.00000        -1974.00000                 31                  7            0.03189
         2112.00000        -1984.00000              86172                 95           -0.07221
         2122.00000        -1983.00000                988                 68            0.01840
         2128.00000        -1983.00000                  3                  1            0.07214
         2113.00000        -1970.00000                 30                  5           -0.03035
         2121.00000        -1983.00000               9076                299            0.00923
         2119.00000        -1987.00000               1235                 32           -0.00828
         2121.00000        -1977.00000               7331                249            0.01638
         2126.00000        -1983.00000                201                 33            0.05451
         2113.00000        -1987.00000               1749                  5           -0.06163
         2108.00000        -1983.00000              12731                  2           -0.10561
         2112.00000        -1976.00000              20648                 32           -0.06002
         2109.00000        -1980.00000             100325                  4           -0.09468
         2116.00000        -1987.00000               6855                 42           -0.03521
         2117.00000        -1972.00000                 83                  4           -0.00506
         2114.00000        -1982.00000             130547                236           -0.05452
         2120.00000        -1973.00000                 89                  8            0.01731
         2115.00000        -1978.00000              26664                133           -0.03955
         2117.00000        -1981.00000             323018               1650           -0.02655
         2119.00000        -1972.00000                417                 17            0.01179
         2118.00000        -1985.00000              29664                359           -0.01842
         2115.00000        -1976.00000              23307                238           -0.03446
         2118.00000        -1972.00000                114                  4            0.00335
         2110.00000        -1973.00000              64284                 14           -0.06579
         2116.00000        -1973.00000               2087                 17           -0.01673
         2122.00000        -1981.00000               5611                226            0.01968
         2115.00000        -1973.00000               7163                 17           -0.02513
         2119.00000        -1990.00000                444                 26           -0.00533
         2113.00000        -1971.00000                735                 10           -0.03425
         2119.00000        -1986.00000               2716                 54           -0.00885
         2115.00000        -1987.00000               6133                 43           -0.04410
         2113.00000        -1981.00000             116560                131           -0.06238
         2122.00000        -1986.00000               4051                115            0.01837
         2119.00000        -1976.00000               6890                143            0.00071
         2120.00000        -1978.00000               9598                369            0.00545
         2111.00000        -1980.00000              53135                 27           -0.07799
         2115.00000        -1972.00000               2295                 55           -0.02168
         2117.00000        -1979.00000             115056                931           -0.02368
         2115.00000        -1985.00000              32897                 97           -0.04559
         2118.00000        -1984.00000              18785                228           -0.01862
         2124.00000        -1982.00000               1278                 89            0.03712
         2113.00000        -1989.00000                131                 10           -0.05931
         2114.00000        -1969.00000                120                 12           -0.01840
         2119.00000        -1988.00000               1003                 44           -0.00748
         2117.00000        -1973.00000               1622                  5           -0.00828
         2106.00000        -1971.00000                630                  3           -0.08782
         2120.00000        -1982.00000              21519                587            0.00047
         2110.00000        -1969.00000                836                 11           -0.04925
         2110.00000        -1970.00000               2423                  5           -0.05351
         2113.00000        -1985.00000              18951                 38           -0.06321
         2124.00000        -1985.00000                141                 16            0.03621
         2113.00000        -1982.00000             748908                364           -0.06328
         2119.00000        -1982.00000              71068               1073           -0.00881
         2114.00000        -1971.00000                244                  1           -0.02620
         2114.00000        -1981.00000             677869                683           -0.05367
         2121.00000        -1985.00000               2339                 74            0.00904
         2123.00000        -1977.00000               1317                 38            0.03424
         2116.00000        -1976.00000               8178                 78           -0.02577
         2114.00000        -1988.00000               2963                  4           -0.05192
         2109.00000        -1978.00000              88006                  6           -0.09049
         2117.00000        -1987.00000              11553                107           -0.02626
         2108.00000        -1976.00000              60395                  3           -0.09263
         2116.00000        -1986.00000              19232                 25           -0.03603
         2119.00000        -1975.00000                927                 50            0.00321
         2122.00000        -1977.00000                406                 12            0.02533
         2117.00000        -1980.00000             205210               1250           -0.02531
         2122.00000        -1978.00000               2652                109            0.02355
         2126.00000        -1981.00000                 46                 14            0.05576
         2110.00000        -1978.00000              99667                 13           -0.08226
         2117.00000        -1985.00000              37285                280           -0.02754
         2109.00000        -1976.00000              96554                  2           -0.08466
         2124.00000        -1978.00000                371                 42            0.04147
         2122.00000        -1980.00000              11285                387            0.02071
         2123.00000        -1982.00000               2286                147            0.02805
         2125.00000        -1979.00000                220                 20            0.04896
         2121.00000        -1979.00000               7111                215            0.01290
         2123.00000        -1981.00000               7659                328            0.02881
         2109.00000        -1984.00000              11475                  2           -0.09747
         2111.00000        -1973.00000               4806                  5           -0.05790
         2114.00000        -1976.00000              35178                 89           -0.04307
         2117.00000        -1984.00000              33135                241           -0.02780
         2110.00000        -1981.00000              41941                  3           -0.08772
         2120.00000        -1975.00000                150                 15            0.01198
         2111.00000        -1976.00000              16927                  1           -0.06840
         2111.00000        -1970.00000               1625                  2           -0.04588
         2116.00000        -1972.00000               1174                 18           -0.01338
         2120.00000        -1987.00000                241                 12            0.00071
         2121.00000        -1981.00000               7855                242            0.01049
         2111.00000        -1978.00000              35081                  3           -0.07394
         2111.00000        -1975.00000              41125                 75           -0.06513
         2111.00000        -1974.00000               7877                  1           -0.06176
         2112.00000        -1968.00000                209                 12           -0.02972
         2120.00000        -1986.00000               3415                 87            0.00023
         2120.00000        -1983.00000              10426                268            0.00000
         2118.00000        -1980.00000              49746                792           -0.01612
         2114.00000        -1975.00000              36066                 90           -0.04006
         2118.00000        -1970.00000                 56                  5            0.01004
         2123.00000        -1986.00000                353                 32            0.02736
         2109.00000        -1979.00000              99567                 11           -0.09278
         2120.00000        -1988.00000                116                  7            0.00145
         2126.00000        -1984.00000                769                 78            0.05419
         2123.00000        -1978.00000               1330                 96            0.03254
         2118.00000        -1976.00000               6125                109           -0.00816
         2115.00000        -1979.00000              75476                361           -0.04166
         2114.00000        -1972.00000               1803                 17           -0.02991
         2126.00000        -1980.00000               1297                 76            0.05669
         2111.00000        -1977.00000              28210                  9           -0.07133
         2110.00000        -1982.00000              42404                 10           -0.08861
         2112.00000        -1987.00000               2287                  7           -0.07026
         2115.00000        -1986.00000              27819                138           -0.04496
         2123.00000        -1979.00000               8037                299            0.03106
         2119.00000        -1989.00000                129                 11           -0.00653
         2123.00000        -1985.00000                638                 41            0.02720
         2117.00000        -1977.00000              17183                261           -0.01947
         2115.00000        -1984.00000              33437                155           -0.04594
         2119.00000        -1978.00000              15911                293           -0.00363
         2116.00000        -1980.00000              72567                422           -0.03442
         2114.00000        -1990.00000                205                  1           -0.04919
         2120.00000        -1981.00000              34922                850            0.00125
         2114.00000        -1978.00000              32936                170           -0.04831
         2112.00000        -1972.00000               1392                  8           -0.04619
         2121.00000        -1984.00000              15314                365            0.00902
         2121.00000        -1982.00000              11891                308            0.00972
         2112.00000        -1970.00000               2984                 29           -0.03811
         2124.00000        -1984.00000                215                 38            0.03629
         2121.00000        -1976.00000                435                 22            0.01846
         2114.00000        -1987.00000               3735                 27           -0.05291
         2118.00000        -1981.00000              60860                607           -0.01730
         2113.00000        -1980.00000             105366                114           -0.06099
         2108.00000        -1972.00000               6344                  8           -0.07720
         2124.00000        -1977.00000               1556                 92            0.04310
         2112.00000        -1985.00000              18882                 17           -0.07185
         2116.00000        -1979.00000              65609                398           -0.03272
         2128.00000        -1984.00000                  7                  2            0.07180
         2122.00000        -1982.00000              24616                696            0.01892
         2109.00000        -1983.00000              15820                  3           -0.09739
         2112.00000        -1978.00000              30171                 38           -0.06550
         2115.00000        -1988.00000               4046                  5           -0.04302
         2117.00000        -1982.00000              96521                741           -0.02735
         2113.00000        -1988.00000                355                  2           -0.06062
         2125.00000        -1985.00000                144                  8            0.04517
         2113.00000        -1984.00000              54912                 69           -0.06360
         2110.00000        -1979.00000              40846                  4           -0.08454
         2113.00000        -1976.00000              14724                 27           -0.05162
         2119.00000        -1983.00000              29452                463           -0.00926
